,Rotation Index,Orientation Matrix,wR2,alpha,beta,omega
27,33,"[[-0.5927848768177207,-0.423946601234018,-0.68475085557357],[-0.6200042118425128,0.782929120730958,0.05197440486131295],[0.5141153731116538,0.4553145460009974,-0.7268368042792418]]",0.092571,0.025102,-0.001191,0.023034
28,25,"[[-0.5804867902738252,-0.44551064702775023,-0.6815890349500376],[-0.4864194446153897,0.8610363736081884,-0.1485323710843062],[0.6531046756213467,0.2452703221833772,-0.7164145016724385]]",0.085253,1.010526,0.389624,-0.961637
29,32,"[[-0.5854025712960005,-0.4336549014412505,-0.6850223476427548],[-0.6120965584141548,0.7905106960279192,0.02262310701799421],[0.5317479326884119,0.4325000498323065,-0.7280858103419695]]",0.042838,0.313565,0.235758,-0.589144
30,7,"[[-0.5910890590665225,-0.42817861885325637,-0.6835823075616779],[-0.0545734870225932,0.8667688313893844,-0.4956594375758695],[0.8048288559948494,-0.25572458571766554,-0.5356429304768408]]",0.069311,0.244002,-0.116544,-0.254444
31,40,"[[-0.5930617448274756,-0.42373113958851505,-0.6846444406494733],[-0.7179672280779169,0.66328651560898,0.21135918537917606],[0.3645746237265772,0.6168652447672637,-0.6974713408634691]]",0.07654,-0.087216,-0.10188,-0.03718
32,24,"[[-0.5924939444405327,-0.4234128981845075,-0.6853325364078826],[-0.45167276462259826,0.8790601658917743,-0.15260687688557822],[0.6671254624671802,0.2190771331813677,-0.7119742214241672]]",0.12872,0.011523,-0.004052,0.03112
33,1,"[[-0.5924461914938103,-0.4199739896513753,-0.6874862039505947],[0.10302471375950904,0.8068761279243957,-0.5815979706292577],[0.7990663979013556,-0.415442700520563,-0.434722419912699]]",0.084973,-0.118396,-0.021655,0.094952
34,21,"[[-0.5916753965178755,-0.42442465587128975,-0.6854138332508126],[-0.3879928187846096,0.8951893989488955,-0.21937216261176865],[0.706750029762486,0.1360870467108066,-0.6942337640878296]]",0.08455,0.039935,0.002471,-0.041028
35,18,"[[-0.591562968590343,-0.425006171366714,-0.6851504507811534],[-0.321173703467719,0.9036804515236722,-0.28322704976526847],[0.7396043478291844,0.05245336881183892,-0.6709903728389008]]",0.109293,0.035603,-0.047783,-0.113133
36,12,"[[-0.5898101900578151,-0.4334283228235724,-0.6813749819609264],[-0.18130158694962928,0.8932986526699582,-0.4112412243338149],[0.7869992375054513,-0.11907152866965938,-0.6053797719985118]]",0.090268,0.547516,-0.080768,-0.373302
