orientation,h,k,l,thickness_A,I_with_abs,I_without_abs,L_factor
orientation_1,5,9,-7,280.0,1.769424623222073e-05,2.430001778358017e-05,4.61497367813839
orientation_1,5,9,-7,300.0,1.8532653741656063e-05,2.6034735434236213e-05,4.61497367813839
orientation_1,5,9,-7,320.0,1.9324582426477615e-05,2.7769060939965454e-05,4.61497367813839
orientation_1,5,9,-7,340.0,2.0071228497911244e-05,2.9502968206488717e-05,4.61497367813839
orientation_1,5,9,-7,360.0,2.0774423253271977e-05,3.1236431148997455e-05,4.61497367813839
orientation_1,5,9,-7,380.0,2.143572860719177e-05,3.2969423692735257e-05,4.61497367813839
orientation_1,5,9,-7,400.0,2.2056658916647743e-05,3.4701919773581854e-05,4.61497367813839
orientation_1,5,9,-7,420.0,2.2638682305525256e-05,3.6433893338638464e-05,4.61497367813839
orientation_1,5,9,-7,440.0,2.318318402053919e-05,3.8165318346813515e-05,4.61497367813839
orientation_1,5,9,-7,460.0,2.3691616825970744e-05,3.989616876940936e-05,4.61497367813839
orientation_1,5,9,-7,480.0,2.4165282398670285e-05,4.162641859070825e-05,4.61497367813839
orientation_1,5,9,-7,500.0,2.46054764981476e-05,4.3356041808559344e-05,4.61497367813839
orientation_1,5,9,-7,520.0,2.501345476856081e-05,4.5085012434964773e-05,4.61497367813839
orientation_1,5,9,-7,540.0,2.5390433867220504e-05,4.6813304496665824e-05,4.61497367813839
orientation_1,5,9,-7,560.0,2.5737592563239248e-05,4.854089203572893e-05,4.61497367813839
orientation_1,5,9,-7,580.0,2.6056072807082072e-05,5.0267749110131516e-05,4.61497367813839
orientation_1,5,9,-7,600.0,2.6346980771752968e-05,5.199384979434619e-05,4.61497367813839
orientation_1,5,9,-7,620.0,2.6611387866338273e-05,5.371916817992477e-05,4.61497367813839
orientation_1,5,9,-7,640.0,2.6850331722609497e-05,5.5443678376089444e-05,4.61497367813839
orientation_1,5,9,-7,660.0,2.706481715536077e-05,5.716735451030625e-05,4.61497367813839
orientation_1,5,9,-7,680.0,2.7255817097167382e-05,5.889017072888616e-05,4.61497367813839
orientation_1,5,9,-7,700.0,2.742427350817227e-05,6.061210119751916e-05,4.61497367813839
orientation_1,5,9,-7,720.0,2.7571098261632627e-05,6.233312010194845e-05,4.61497367813839
orientation_1,5,9,-7,740.0,2.7697174005697125e-05,6.405320164846383e-05,4.61497367813839
orientation_1,5,9,-7,760.0,2.7803355002159818e-05,6.577232006452346e-05,4.61497367813839
orientation_1,5,9,-7,780.0,2.7890467942702184e-05,6.749044959933074e-05,4.61497367813839
orientation_1,5,9,-7,800.0,2.7959312743217985e-05,6.920756452441444e-05,4.61497367813839
orientation_1,5,9,-7,820.0,2.8010663316781366e-05,7.09236391342074e-05,4.61497367813839
