Index,hkl,U_g_real,U_g_imag,g_mag
223,"(-15, 3, -9)",-0.0002358921965655,-2.7508762175370944e-05,2.031787074506278
225,"(-14, -8, 3)",-0.0001616478015261,-2.3116483037625967e-05,1.988611300394148
226,"(-14, -7, 2)",0.0003254752492977,5.1175597339270594e-05,1.9245154111553533
239,"(-13, -5, 0)",-0.0021905235593927,-0.000685064649467,1.7093139269897617
240,"(-13, -4, -1)",-5.211895470840872e-05,-6.396744301558745e-06,1.6733772332840118
241,"(-13, -3, -2)",-0.0007598205748914,-0.0004753507561313,1.6497614753654626
242,"(-13, -2, -3)",2.71367506159753e-05,1.130351870973532e-05,1.6389993237281946
244,"(-12, 1, -6)",0.0004759708577589,9.09070985123736e-05,1.568233203692267
245,"(-12, 2, -7)",-0.0003461424156857,-5.837125255836652e-05,1.61130324140181
246,"(-12, 3, -8)",-0.0002967754897351,-5.984594712549141e-05,1.6662308325066264
247,"(-12, 4, -9)",0.0004311469040223,7.04684815479698e-05,1.731888141738417
248,"(-12, 5, -10)",0.000249669290683,3.541490546415355e-05,1.8071060236320529
249,"(-12, 6, -11)",-0.0002573315801733,-3.761719463036703e-05,1.8907438014323967
250,"(-12, 7, -12)",-0.0002774469585535,-3.246781858617793e-05,1.98173569416244
251,"(-12, -10, 6)",0.0007713042295857,0.000333746708201,1.9687771260661315
255,"(-11, -8, 4)",0.000517398986609,8.759854346518569e-05,1.693320011539329
256,"(-11, -7, 3)",0.0006814841471842,0.0001292406914583,1.6130883079021563
257,"(-11, -6, 2)",-0.0015276351388913,-0.0002955533202954,1.5426792970531529
263,"(-10, 0, -4)",0.0048097986013933,0.0014202605159387,1.277834999614473
272,"(-10, 9, -13)",5.6430416756098944e-05,-6.872082145278234e-06,1.9744505011128783
277,"(-10, -4, 0)",0.0035783023005726,0.0011635219459989,1.3214098556605485
278,"(-10, -3, -1)",-6.444110135714542e-05,-3.907408495137994e-05,1.285761304152344
279,"(-10, -2, -2)",0.001047295333488,0.0006659070070237,1.2662245269812618
280,"(-10, -1, -3)",0.0004950061503023,0.0001517346568502,1.2635470988677002
298,"(-8, -5, 2)",-0.0004416521660002,-0.0001619927193913,1.165189868944395
299,"(-8, -4, 1)",-0.0007526514405781,-0.0002311816763066,1.0987165752630257
303,"(-7, 0, -3)",-0.000752877790215,4.716358711708889e-05,0.8991617931633772
304,"(-7, 1, -4)",-0.0025654002488727,-0.0009076781159541,0.9345714559166302
305,"(-7, 2, -5)",0.0013710224360787,0.0001297139024836,0.990676525914568
306,"(-7, 3, -6)",-0.0060895497699799,-0.0017461015461716,1.0642088369473652
307,"(-7, 4, -7)",-0.0007486199577109,-0.0001281847337976,1.151835585111976
308,"(-7, 5, -8)",-0.00230391051361,-0.0009474807729198,1.2505975685560526
309,"(-7, 6, -9)",8.525293666446675e-05,5.4069300962442495e-05,1.358067611969688
310,"(-7, 7, -10)",-0.0028789193957168,-0.0009431472271495,1.4723400747580262
311,"(-7, 8, -11)",0.000126961980687,1.384167208852885e-05,1.5919507686013934
312,"(-7, 9, -12)",-0.0011309392870054,-0.0005417622346986,1.7157836403280402
313,"(-7, 10, -13)",1.789882262742759e-05,7.555017296534673e-07,1.8429878046364807
314,"(-7, 11, -14)",-0.0009158529666545,-0.0003731885346708,1.972911273350864
