orientation,h,k,l,thickness_A,I_with_abs,I_without_abs
orientation_1,7,5,-2,2060.0,5.040630463609316e-05,0.00048332552053247514
orientation_1,7,5,-2,2080.0,4.9196342937760235e-05,0.00048171022956263566
orientation_1,7,5,-2,2100.0,4.8006403351245844e-05,0.0004799900371024831
orientation_1,7,5,-2,2120.0,4.6838075283590696e-05,0.00047818353780799283
orientation_1,7,5,-2,2140.0,4.5689759549214834e-05,0.0004762749803056332
orientation_1,7,5,-2,2160.0,4.456213859698945e-05,0.0004742737069534356
orientation_1,7,5,-2,2180.0,4.345523744890513e-05,0.0004721822164225832
orientation_1,7,5,-2,2200.0,4.236887849796145e-05,0.00047000084507524853
orientation_1,7,5,-2,2220.0,4.130320259812467e-05,0.0004677339801077394
orientation_1,7,5,-2,2240.0,4.025782167217299e-05,0.00046538364851821497
orientation_1,7,5,-2,2260.0,3.9234036050528296e-05,0.00046295805725758216
orientation_1,7,5,-2,2280.0,3.822883432178589e-05,0.00046043339621687946
orientation_1,7,5,-2,2300.0,3.724555359486721e-05,0.00045785327430709975
orientation_1,7,5,-2,2320.0,3.628196461990927e-05,0.0004551922425670033
orientation_1,7,5,-2,2340.0,3.533847900017424e-05,0.00045246002511458637
orientation_1,7,5,-2,2360.0,3.441494288177058e-05,0.0004496589425816516
orientation_1,7,5,-2,2380.0,3.351105885307495e-05,0.0004467918398435322
